22,"t","Cattle Death Loss: Released May 5, 2006, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
22,"t","Non-Lethal Methods Used to Prevent Losses of Cattle and Calves to Predators,"
22,"t","by State and United States, 2005 1/ 2/"
22,"h","","","","",""
22,"h","","Fright","Livestock","","Other"
22,"h","State","Tactics","Carcass Removal","Culling","Non-lethal"
22,"h","","","","",""
22,"u","","Percent","Percent","Percent","Percent"
22,"d","AL",2.6,11.5,8.2,2.0
22,"d","AZ",11.8,13.8,40.7,1.2
22,"d","AR",13.4,13.5,14.6,5.7
22,"d","CA",,10.6,35.5,6.3
22,"d","CO",7.0,15.5,14.3,0.1
22,"d","CT",,17.5,17.5,12.7
22,"d","DE",,,,
22,"d","FL",0.5,20.4,29.3,0.1
22,"d","GA",0.4,6.6,10.4,5.4
22,"d","HI",1.7,9.1,7.9,8.0
22,"d","ID",20.6,15.0,16.8,6.0
22,"d","IL",,17.0,26.7,
22,"d","IN",5.7,26.7,36.4,0.1
22,"d","IA",,2.2,3.3,7.1
22,"d","KS",,22.1,30.2,0.2
22,"d","KY",,1.1,4.3,12.5
22,"d","LA",2.2,14.5,3.4,13.8
22,"d","ME",,2.2,2.2,
22,"d","MD",,,,
22,"d","MA",,,,6.5
22,"d","MI",,15.6,9.1,1.6
22,"d","MN",3.2,13.0,19.0,5.5
22,"d","MS",3.1,13.1,25.6,4.3
22,"d","MO",1.5,11.0,12.5,4.6
22,"d","MT",7.8,18.5,31.7,11.7
22,"d","NE",2.5,50.4,41.1,4.0
22,"d","NV",15.4,30.9,30.9,
22,"d","NH",,,,0.2
22,"d","NJ",3.4,18.9,3.4,6.3
22,"d","NM",25.5,44.4,31.5,2.0
22,"d","NY",9.2,74.4,89.2,17.2
22,"d","NC",3.1,27.4,39.7,1.0
22,"d","ND",2.8,16.4,19.4,11.8
22,"d","OH",4.1,6.8,12.2,15.4
22,"d","OK",2.5,29.4,5.9,11.2
22,"d","OR",1.6,41.4,47.6,4.3
22,"d","PA",2.9,18.2,22.4,4.7
22,"d","RI",,,,
22,"d","SC",0.7,5.5,5.2,
22,"d","SD",4.4,22.7,28.6,12.0
22,"d","TN",0.8,32.3,30.1,5.9
22,"d","TX",0.1,5.2,15.3,8.4
22,"d","UT",,4.5,38.0,
22,"d","VT",,,1.5,0.7
22,"d","VA",,28.2,42.1,13.9
22,"d","WA",4.2,13.6,14.1,13.7
22,"d","WV",,4.7,19.9,6.5
22,"d","WI",2.6,14.7,9.4,6.8
22,"d","WY",0.5,32.7,42.0,12.2
22,"d","",,,,
22,"d","US",3.0,16.5,19.6,6.2
22,"c",""
22,"f","1/  Missing data are not published to avoid disclosure of individual operations."
22,"f","2/  Use of multiple non-lethal methods may result in percentages summing to greater than 100."
